Point	x	y	z
594	1.548702	1.235229	0.529101
595	1.134012	1.013356	0.993376
596	1.508298	1.102198	0.786291
597	1.055987	1.148717	0.78388
598	1.039276	1.141671	0.779941
599	1.182267	1.537721	0.535634
600	1.044855	1.249585	0.650598
601	1.037871	1.348887	0.532682
602	1.234002	1.486802	0.509327
603	1.229785	1.471226	0.508237
604	1.208392	1.457784	0.534034
605	1.095766	1.08135	0.815613
606	1.043802	1.334926	0.516062
607	1.541178	1.248291	0.535309
608	1.171376	1.753275	0.157082
609	1.108684	1.352173	0.52041
610	1.076785	0.928993	1.035627
611	1.52353	1.070639	0.797183
612	1.4623	1.060604	0.758094
613	1.144722	1.014106	0.952586
614	1.228698	1.030674	1.305525
615	1.130804	1.642323	0.074957
616	1.09114	1.096021	0.742593
617	1.358427	1.124304	0.60535
618	1.3812	1.092612	0.622873
619	1.484848	1.033386	0.767705
620	1.158143	0.964298	0.555083
621	1.463841	0.915037	1.073425
622	1.246733	1.116903	0.819264
623	1.222574	0.984918	1.303124
624	1.137218	0.974634	0.532699
625	1.1554	1.53509	0.520633
626	1.254173	1.109435	0.898931
627	1.293512	1.106711	1.250159
628	1.072449	1.236544	0.561909
629	1.408148	1.456507	0.552321
630	1.111768	1.579065	0.347118
631	1.420433	1.491459	0.486708
632	1.111297	1.545213	0.350713
633	1.111346	1.587097	0.289308
634	1.433888	1.451399	0.521775
635	1.036149	1.047152	0.824985
636	1.317488	0.911937	1.343784
637	1.212371	1.591481	0.288548
638	1.283055	0.903504	1.329233
639	1.386511	0.969361	1.264404
640	1.213163	0.945837	0.699916
641	1.513139	1.068806	0.720939
642	1.169474	1.500371	0.336625
643	1.386163	0.998558	1.264724
644	1.105276	1.040787	0.827496
645	1.252553	0.92036	1.331141
646	1.034669	1.072188	0.805928
647	1.352453	1.067289	1.243884
648	1.089129	1.366802	0.525484
649	1.370715	0.920006	1.276477
650	1.034459	1.115114	0.77418
651	1.032576	1.122887	0.775549
652	1.303773	1.102323	1.244515
653	1.026881	1.122362	0.767419
654	1.1833	1.105524	0.630423
655	1.289196	0.925683	1.360905
656	1.22011	1.550089	0.310062
657	1.226132	1.140276	0.575675
658	1.225549	1.02036	1.246813
659	1.23465	1.503542	0.420192
660	1.286608	1.125057	0.490186
661	1.146887	1.521835	0.489717
662	1.188864	1.667232	0.090921
663	1.067808	1.275362	0.52142
664	1.305949	0.913809	1.347407
665	1.224887	0.961127	1.269959
666	1.257241	1.204195	0.514426
667	1.126139	1.759473	0.163634
668	1.152222	1.773337	0.16602
669	1.07882	1.221081	0.59621
670	1.4335	1.420216	0.471177
671	1.228124	1.523149	0.36956
672	1.07227	1.087571	0.749404
673	1.298651	0.934529	1.368549
674	1.36706	1.040484	1.233961
675	1.427732	1.450991	0.498623
676	1.314974	0.893603	1.307397
677	1.057722	1.251005	0.537186
678	1.436869	1.009922	0.897016
679	1.164068	1.061467	0.666319
680	1.354925	0.997071	0.458157
681	1.20479	1.450967	0.486583
682	1.209188	1.432076	0.468319
683	1.212547	1.457239	0.510969
684	1.14658	1.022133	0.684636
685	1.244669	1.062172	1.244629
686	1.163916	1.818901	0.153914
687	1.233997	1.487583	0.505469
688	1.285755	0.892991	1.300667
689	1.095953	1.723761	0.102824
690	1.248015	0.913194	1.280917
691	1.341035	0.901264	1.26655
692	1.151694	1.840909	0.177721
693	1.336701	1.066939	1.186926
694	1.289951	1.105217	1.246238
695	1.178917	1.703197	0.107289
696	1.31071	1.089617	1.210163
697	1.303197	1.093033	1.239856
698	1.128185	0.957949	0.98719
699	1.208841	1.595833	0.264573
700	1.315172	0.892292	1.280948
701	1.154162	1.457934	0.538126
702	1.209612	1.563375	0.266679
703	1.359381	1.010787	1.198574
704	1.312607	0.896413	1.259146
705	1.040374	1.056148	0.919523
706	1.288924	0.894165	1.267592
707	1.290776	1.090724	1.211743
708	1.287468	1.092815	1.23958
709	1.171334	1.766857	0.125273
710	1.313357	0.982428	0.453853
711	1.125852	1.023156	0.916382
712	1.334483	1.052369	1.171685
