Area	m2	bui
366	6.46E-04	R.Hand
367	2.92E-03	Pelvis
368	3.05E-04	L.foreleg
369	6.73E-04	R.Hand
370	1.33E-04	RightLegsJoint
371	1.20E-04	L.Fore_arm
372	3.98E-04	R.Hand
373	3.25E-04	R.Upper_arm
374	2.23E-03	R.Side_back
375	6.11E-04	L.foreleg
376	9.66E-04	Back_side
377	1.70E-04	L.Hand
378	2.12E-03	Back_side
379	7.59E-04	L.foot
380	9.75E-05	L.Upper_arm
381	1.89E-03	R.Side_chest
382	1.03E-04	LeftArmsJoint
383	3.76E-03	L.front_thigh
384	2.76E-03	L.Side_back
385	4.41E-04	R.Hand
386	8.69E-04	L.foot
387	3.09E-03	L.foot
388	5.04E-04	R.Upper_arm
389	4.31E-04	L.Upper_arm
390	8.17E-04	L.Side_chest
391	1.55E-03	R.Upper_arm
392	1.56E-03	R.Upper_arm
393	9.83E-04	R.front_thigh
394	3.89E-03	L.front_thigh
395	2.73E-03	Back_side
396	1.78E-03	L.foreleg
397	4.88E-04	RightLegsJoint
398	8.09E-04	L.foot
399	8.47E-04	L.foreleg
400	3.95E-04	L.foreleg
401	1.76E-03	R.front_thigh
402	4.70E-04	Pelvis
403	6.69E-04	L.Side_chest
404	7.46E-04	L.foot
405	3.80E-04	R.Upper_arm
406	3.59E-04	R.Hand
407	3.46E-04	LeftArmsJoint
408	7.05E-04	L.Upper_arm
409	7.30E-04	L.foreleg
410	2.65E-04	L.foreleg
411	2.75E-04	L.Hand
412	2.23E-03	R.Side_chest
413	2.91E-04	L.Upper_arm
414	1.14E-03	Crown
415	1.34E-04	RightArmsJoint
416	1.02E-03	R.Side_back
417	1.89E-03	L.front_thigh
418	4.29E-04	L.foreleg
419	1.31E-03	Head
420	5.85E-04	R.Back_thigh
421	8.22E-04	L.front_thigh
422	2.71E-04	L.Hand
423	4.13E-04	R.Hand
424	9.53E-04	L.foreleg
425	2.36E-03	L.Back_thigh
426	1.67E-03	R.Side_chest
427	9.32E-04	Pelvis
