Area,Direction,Normal_Z,Result,Azimuth,Elevation
784,90,0.1586,UpDirection,113.5,9.13
785,90,0.4205,UpDirection,167.87,24.87
786,270,-0.0301,DownDirection,-7.53,-1.73
787,90,0.1824,UpDirection,110.17,10.51
788,90,-0.0834,DownDirection,2.23,-4.78
789,90,0.5693,UpDirection,110.46,34.7
790,90,0.1956,UpDirection,101.96,11.28
791,90,0.9277,UpDirection,-127.31,68.07
792,270,0.0079,UpDirection,43.42,0.45
793,90,0.8295,UpDirection,-37.64,56.05
794,270,0.4334,UpDirection,-24.6,25.68
795,270,-0.3605,DownDirection,100.88,-21.13
796,90,0.69,UpDirection,87.29,43.63
797,90,-0.0869,DownDirection,3.25,-4.98
798,270,0.4551,UpDirection,92.92,27.07
799,90,0.9947,UpDirection,129.41,84.12
800,90,-0.2368,DownDirection,12.56,-13.7
801,90,0.147,UpDirection,-15.05,8.45
802,90,0.5278,UpDirection,118.37,31.86
803,270,-0.0283,DownDirection,-11.29,-1.62
804,270,-0.3133,DownDirection,-2.68,-18.26
805,90,-0.0769,DownDirection,51.01,-4.41
806,270,-0.0308,DownDirection,62.02,-1.77
807,270,-0.3474,DownDirection,73.01,-20.33
808,90,0.3551,UpDirection,85.86,20.8
809,270,-0.0185,DownDirection,-42.53,-1.06
810,90,0.0692,UpDirection,111.92,3.97
811,270,0.0634,UpDirection,121.84,3.63
812,270,-0.0988,DownDirection,-1.4,-5.67
813,270,-0.0786,DownDirection,-17.45,-4.51
814,90,0.601,UpDirection,125.32,36.94
815,90,0.085,UpDirection,136.44,4.88
816,270,-0.7414,DownDirection,-0.46,-47.85
817,90,-0.1062,DownDirection,11.32,-6.1
818,90,0.1159,UpDirection,59.2,6.65
819,90,0.4614,UpDirection,48.77,27.48
820,270,0.2802,UpDirection,71.08,16.27
821,90,0.4777,UpDirection,49.27,28.54
822,270,0.1638,UpDirection,34.82,9.43
823,90,0.223,UpDirection,38.08,12.88
824,90,0.2969,UpDirection,89.31,17.27
825,270,-0.3863,DownDirection,3.87,-22.72
826,270,-0.5595,DownDirection,-11.08,-34.02
827,90,0.1048,UpDirection,4.06,6.01
828,270,0.2337,UpDirection,138.64,13.51
829,270,-0.1171,DownDirection,43.44,-6.72
830,270,-0.0139,DownDirection,-14.8,-0.79
831,270,-0.2812,DownDirection,-23.49,-16.33
832,90,0.8266,UpDirection,98.89,55.75
833,270,0.0358,UpDirection,28.07,2.05
834,270,-0.0572,DownDirection,-166.45,-3.28
835,270,-0.5837,DownDirection,82.87,-35.71
836,270,-0.1271,DownDirection,15.8,-7.3
837,90,0.1041,UpDirection,-6.18,5.97
838,270,0.6134,UpDirection,71.15,37.84
839,90,0.9947,UpDirection,146.35,84.1
840,270,0.3111,UpDirection,123.07,18.13
841,90,0.8508,UpDirection,12.22,58.3
842,90,0.1423,UpDirection,90.27,8.18
843,90,0.2645,UpDirection,6.73,15.34
844,270,0.2424,UpDirection,103.41,14.03
845,90,-0.2222,DownDirection,21.73,-12.84
846,270,0.5018,UpDirection,73.74,30.12
847,90,0.9532,UpDirection,-161.84,72.4
848,90,0.9449,UpDirection,11.26,70.88
849,270,0.5875,UpDirection,-174.7,35.98
850,90,0.1062,UpDirection,25.07,6.1
851,270,0.0846,UpDirection,0.98,4.85
852,90,0.5249,UpDirection,-179.61,31.66
853,90,0.2809,UpDirection,73.51,16.31
854,90,0.9609,UpDirection,94.05,73.92
855,270,0.208,UpDirection,11.52,12.01
856,90,-0.1473,DownDirection,-2.99,-8.47
857,90,0.1926,UpDirection,-62.17,11.11
858,270,-0.0125,DownDirection,82.27,-0.72
859,90,0.0221,UpDirection,59.51,1.27
860,90,0.7114,UpDirection,-83.61,45.35
861,270,0.67,UpDirection,44.83,42.06
862,90,-0.1052,DownDirection,20.45,-6.04
863,270,-0.7381,DownDirection,0.28,-47.57
864,270,0.2999,UpDirection,45.75,17.45
865,90,0.0704,UpDirection,-7.43,4.04
866,270,0.1234,UpDirection,-140,7.09
867,270,-0.1281,DownDirection,15.01,-7.36
868,270,-0.1462,DownDirection,107.3,-8.4
869,90,-0.0962,DownDirection,30.39,-5.52
870,270,0.0727,UpDirection,71.5,4.17
871,90,0.0563,UpDirection,119.93,3.23
872,90,-0.1293,DownDirection,131.73,-7.43
873,270,-0.2727,DownDirection,57.62,-15.83
874,270,0.24,UpDirection,38.95,13.89
875,90,0.7503,UpDirection,-45.35,48.61
876,270,0.0478,UpDirection,77.49,2.74
877,270,-0.0793,DownDirection,9.76,-4.55
878,270,-0.2955,DownDirection,97.11,-17.18
879,270,0.4511,UpDirection,96.18,26.81
880,90,-0.4347,DownDirection,-5.15,-25.77
881,270,0.1735,UpDirection,110.8,9.99
882,90,0.9933,UpDirection,161.84,83.35
883,90,0.1427,UpDirection,123.37,8.2
884,270,0.3085,UpDirection,-18.18,17.97
885,90,0.3367,UpDirection,121.5,19.68
886,90,0.397,UpDirection,76.7,23.39
887,90,0.6012,UpDirection,74.33,36.95
888,90,0.8594,UpDirection,-6.31,59.24
889,270,0.8084,UpDirection,102.49,53.94
890,270,0.2214,UpDirection,100.12,12.79
891,270,0.3118,UpDirection,67.17,18.17
892,90,-0.1196,DownDirection,32.6,-6.87
893,270,0.3247,UpDirection,79.46,18.95
894,90,-0.2191,DownDirection,18.24,-12.66
895,270,0.2797,UpDirection,-22.65,16.24
896,270,0.3894,UpDirection,101.04,22.92
897,90,-0.0827,DownDirection,59.64,-4.74
898,90,0.8765,UpDirection,-10.22,61.22
899,90,-0.3379,DownDirection,1.42,-19.75
900,90,-0.4563,DownDirection,41.98,-27.15
901,90,-0.3891,DownDirection,40.38,-22.9
902,90,0.1188,UpDirection,41.35,6.82
903,90,0.9602,UpDirection,-66.23,73.78
904,270,0.2189,UpDirection,-6.52,12.64
905,270,0.3879,UpDirection,42.06,22.82
906,270,0.0667,UpDirection,121.59,3.82
907,90,-0.4088,DownDirection,90.77,-24.13
908,270,-0.0569,DownDirection,111.39,-3.26
909,90,0.6202,UpDirection,71.76,38.33
910,90,0.1222,UpDirection,77.61,7.02
911,270,0.2229,UpDirection,18.08,12.88
912,90,0.7727,UpDirection,-36.43,50.6
913,270,-0.1952,DownDirection,89.31,-11.26
914,90,0.0995,UpDirection,58.81,5.71
915,90,0.0056,UpDirection,4.73,0.32
916,90,0.1003,UpDirection,11.37,5.76
917,270,0.0241,UpDirection,-24.51,1.38
918,270,0.0606,UpDirection,0.72,3.48
919,90,0.42,UpDirection,7.76,24.84
920,90,0.0705,UpDirection,54.22,4.04
921,90,-0.1914,DownDirection,-39.28,-11.03
922,270,-0.1231,DownDirection,-39.24,-7.07
923,90,-0.2169,DownDirection,-20.71,-12.53
924,90,-0.0982,DownDirection,107.21,-5.64
925,90,-0.1508,DownDirection,132.35,-8.68
926,270,0.345,UpDirection,-29.77,20.18
927,270,0.8877,UpDirection,79.57,62.59
928,270,0.1862,UpDirection,-38.83,10.73
929,270,-0.2462,DownDirection,-5.52,-14.25
930,90,0.1549,UpDirection,113.59,8.91
931,90,-0.1643,DownDirection,-49.63,-9.45
932,270,0.0613,UpDirection,22.06,3.52
